chr1	x1	x2	chr2	y1	y2	color	o	e_bl	e_donut	e_h	e_v	fdr_bl	fdr_donut	fdr_h	fdr_v	num_collapsed	centroid1	centroid2	radius
14	24800000	24810000	14	24900000	24910000	255,255,0	1116	384.07	324.463	371.91	467.494	3.8792908709e-116	3.92863904014e-181	7.33840122592e-181	1.38837778537e-115	13	24809615	24898076	28554.9402973
11	64610000	64620000	11	64660000	64670000	255,255,0	1067	421.911	415.013	440.348	441.332	2.64089804841e-100	1.01466082912e-99	2.0849195119e-99	9.45163512061e-100	1	64615000	64665000	0
14	24710000	24720000	14	24760000	24770000	255,255,0	1001	413.031	413.759	420.892	481.232	2.68066380436e-80	7.72454438362e-80	1.58723514732e-79	1.54671832025e-37	6	24711666	24768333	14907.11985
11	111230000	111240000	11	111280000	111290000	255,255,0	979	433.831	434.323	404.255	508.769	4.15163542821e-74	1.06340135529e-73	2.185071278e-73	1.00752994779e-33	4	111235000	111292500	10307.764064
1	46500000	46510000	1	46640000	46650000	255,255,0	943	233.416	235.092	330.353	255.938	5.68429401292e-234	6.96729671838e-234	2.51506724031e-111	1.41594591488e-168	11	46502272	46649545	35559.2858466
1	204410000	204420000	1	204470000	204480000	255,255,0	920	282.985	298.302	330.466	358.112	2.71871167347e-158	3.92898952523e-158	3.33967475656e-103	9.51301294294e-103	9	204405000	204469444	20757.268547
19	10690000	10700000	19	10750000	10760000	255,255,0	918	259.086	270.187	342.243	324.201	1.10605920219e-157	1.59843909234e-157	1.28457534332e-102	2.43939560146e-102	7	10692142	10755000	12857.1428571
12	50030000	50040000	12	50100000	50110000	255,255,0	890	306.068	285.323	327.405	315.15	9.48840206208e-93	3.74673126167e-145	5.64637696481e-93	8.93534401839e-93	9	50037222	50102777	17916.1283296
8	128220000	128230000	8	128310000	128320000	255,255,0	885	248.098	214.619	209.582	272.116	4.11405012455e-143	4.16142635062e-202	1.08431009255e-201	1.292987182e-142	13	128222692	128306538	28956.2003457
1	203240000	203250000	1	203300000	203310000	255,255,0	883	361.341	300.053	375.711	331.992	1.12723598223e-90	3.3576762089e-142	1.11799634304e-90	1.5922978219e-90	6	203241666	203303333	13437.0962472
20	55970000	55980000	20	56050000	56060000	255,255,0	879	354.303	387.193	411.687	471.645	1.25268376741e-89	6.85454035551e-48	1.40846719634e-47	1.70268034402e-47	14	55967142	56064285	38979.3247133
18	13560000	13570000	18	13610000	13620000	255,255,0	879	321.543	273.754	298.409	301.285	1.25268376741e-89	1.25208753523e-140	5.60157583782e-140	2.72296220841e-140	6	13556666	13625000	15365.9074288
17	40470000	40480000	17	40550000	40560000	255,255,0	879	289.212	259.956	270.211	292.902	1.29959559947e-140	1.25208753523e-140	5.60157583782e-140	2.72296220841e-140	9	40478333	40551666	18856.1808316
12	108960000	108970000	12	109010000	109020000	255,255,0	878	288.579	260.385	278.775	275.547	2.83523447853e-140	2.56086519683e-140	7.63784757157e-140	4.95040940695e-140	5	108959000	109017000	12649.1106407
1	31190000	31200000	1	31250000	31260000	255,255,0	878	341.625	253.165	277.466	273.698	2.16978089824e-89	2.56086519683e-140	7.63784757157e-140	4.95040940695e-140	4	31197500	31255000	10307.764064
15	74670000	74680000	15	74730000	74740000	255,255,0	862	314.723	297.497	346.72	304.203	3.61041860513e-84	1.8229870787e-133	8.05685627252e-84	3.39815921038e-133	7	74672142	74735000	12857.1428571
6	30640000	30650000	6	30690000	30700000	255,255,0	858	281.21	242.466	246.056	269.011	8.23918512389e-132	8.33489282987e-132	2.48590363283e-131	1.51051727271e-131	4	30645000	30700000	11180.3398875
1	23870000	23880000	1	23960000	23970000	255,255,0	855	228.03	206.959	256.139	243.131	3.03593607554e-186	2.48078505537e-186	3.89411186293e-130	2.5239372503e-130	10	23879000	23960000	21931.7121995
